# Title: June - August 2024 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,81.2,114,1.5,79.7
AL-003,Baldwin County,Alabama,83,127,2.5,80.5
AL-005,Barbour County,Alabama,81.7,122,2.1,79.7
AL-007,Bibb County,Alabama,80.1,106,1,79.1
AL-009,Blount County,Alabama,79,108,1.5,77.5
AL-011,Bullock County,Alabama,81,119,1.7,79.3
AL-013,Butler County,Alabama,81.3,124,1.9,79.4
AL-015,Calhoun County,Alabama,79,110,1.4,77.6
AL-017,Chambers County,Alabama,79,114,1.5,77.4
AL-019,Cherokee County,Alabama,78.4,91,0.7,77.7
AL-021,Chilton County,Alabama,79.8,105,1.1,78.7
AL-023,Choctaw County,Alabama,81.8,120,1.8,79.9
AL-025,Clarke County,Alabama,81.4,116,1.5,79.9
AL-027,Clay County,Alabama,78,112,1.5,76.5
AL-029,Cleburne County,Alabama,77.6,107,1.3,76.3
AL-031,Coffee County,Alabama,82,126,2.2,79.8
AL-033,Colbert County,Alabama,79.4,113,1.7,77.7
AL-035,Conecuh County,Alabama,81.4,113,1.3,80.1
AL-037,Coosa County,Alabama,79.3,107,1.2,78.1
AL-039,Covington County,Alabama,81.9,123,1.9,80
AL-041,Crenshaw County,Alabama,81.2,125,2,79.2
AL-043,Cullman County,Alabama,78.9,110,1.6,77.3
AL-045,Dale County,Alabama,82.2,124,2.2,80
AL-047,Dallas County,Alabama,82.2,126,2.3,79.9
AL-049,DeKalb County,Alabama,76.4,75,0.3,76.1
AL-051,Elmore County,Alabama,80.5,104,1.1,79.4
AL-053,Escambia County,Alabama,81.6,117,1.3,80.3
AL-055,Etowah County,Alabama,79.1,109,1.3,77.7
AL-057,Fayette County,Alabama,80.1,99,1.1,79
AL-059,Franklin County,Alabama,78.7,101,1.3,77.4
AL-061,Geneva County,Alabama,82.4,126,2.2,80.2
AL-063,Greene County,Alabama,81.2,101,0.9,80.3
AL-065,Hale County,Alabama,81,106,1.1,79.9
AL-067,Henry County,Alabama,82.2,124,2,80.2
AL-069,Houston County,Alabama,82.4,122,1.8,80.6
AL-071,Jackson County,Alabama,77.4,96,0.9,76.5
AL-073,Jefferson County,Alabama,80.3,117,1.7,78.6
AL-075,Lamar County,Alabama,80.6,101,1.5,79.2
AL-077,Lauderdale County,Alabama,79.2,116,1.9,77.3
AL-079,Lawrence County,Alabama,79,109,1.5,77.5
AL-081,Lee County,Alabama,80.2,121,1.8,78.4
AL-083,Limestone County,Alabama,79.3,113,1.9,77.4
AL-085,Lowndes County,Alabama,81.9,122,1.9,80
AL-087,Macon County,Alabama,80.9,113,1.5,79.5
AL-089,Madison County,Alabama,79.1,113,1.7,77.3
AL-091,Marengo County,Alabama,81.6,116,1.7,79.9
AL-093,Marion County,Alabama,79,95,1,78
AL-095,Marshall County,Alabama,78.7,107,1.4,77.3
AL-097,Mobile County,Alabama,83.4,129,3.1,80.3
